series,idx,value
day,0,0.0
day,1,-61924.552737
day,2,-82119.874004
day,3,-84849.738932
day,4,-54779.517344
day,5,-32749.679605
day,6,-25429.686192
day,7,-23671.757272
day,8,-116985.694496
day,9,-113958.201408
day,10,-88693.3466
day,11,-100134.095664
week,0,0.0
week,1,85695.851481
week,2,115701.348317
week,3,262337.092474
week,4,65464.110989
week,5,226914.127217
week,6,146173.302761
week,7,28859.932724
week,8,46319.335607
week,9,101083.397461
week,10,39601.837214
week,11,55728.819141
month,0,0.0
month,1,-633658.916189
month,2,-625895.269639
month,3,-1115381.40485
month,4,-977994.670607
month,5,-1283689.113747
month,6,-1208423.807564
month,7,-449547.100224
month,8,-419982.518343
month,9,-496114.665186
month,10,-688227.879749
month,11,-513862.940182
month,12,-595749.432402
allTime,0,0.0
allTime,1,80124.483241
allTime,2,-213711.408245
allTime,3,936846.699719
allTime,4,-380903.725415
allTime,5,-277815.147439
allTime,6,2004148.756988
allTime,7,1795243.757201
allTime,8,1480664.046084
allTime,9,2108589.344032
allTime,10,1914173.579602
