series,idx,value
day,0,0.0
day,1,1.574662
day,2,-27.534892
day,3,-40.750913
day,4,-7.12844
day,5,-0.500244
day,6,-13.112522
day,7,-27.303783
day,8,-16.195547
day,9,-19.296904
day,10,19.164489
day,11,75.779573
day,12,39.387522
week,0,0.0
week,1,96.434545
week,2,106.545263
week,3,49.862844
week,4,166.736892
week,5,236.118476
week,6,212.309651
week,7,239.683037
week,8,202.84089
week,9,189.728368
week,10,242.228412
month,0,0.0
month,1,-127.123199
month,2,-616.723436
month,3,-411.099959
month,4,-348.419014
month,5,-627.469223
month,6,-560.707761
month,7,-485.805828
month,8,-476.586046
month,9,-374.370181
month,10,-338.067266
month,11,-367.630257
allTime,0,0.0
allTime,1,3.17486
allTime,2,-255.336107
allTime,3,-63.168748
allTime,4,-16.66396
allTime,5,18.987459
allTime,6,158.98736
allTime,7,303.568492
allTime,8,344.603337
allTime,9,268.110547
allTime,10,178.227557
