series,idx,value
day,0,0.0
day,1,791.585474
day,2,1893.109439
day,3,2516.043764
day,4,1472.669139
day,5,-152.532473
day,6,550.381227
day,7,1065.751839
day,8,1998.906495
day,9,3709.251491
day,10,3267.308274
day,11,3500.997178
week,0,0.0
week,1,-2644.323866
week,2,1506.987587
week,3,-8121.917431
week,4,-847.673507
week,5,-4257.685784
week,6,-3252.722175
week,7,1662.418787
week,8,5378.483013
week,9,2404.178814
week,10,3597.386541
week,11,3389.132228
month,0,0.0
month,1,6938.258065
month,2,6466.394972
month,3,14001.855597
month,4,14137.786378
month,5,19320.506392
month,6,19483.845361
month,7,6621.489794
month,8,3933.74311
month,9,6889.643579
month,10,14094.009805
month,11,12104.65902
allTime,0,0.0
allTime,1,-23312.489763
allTime,2,-8350.634481
allTime,3,-97833.032694
allTime,4,-63495.346327
allTime,5,-70603.79341
allTime,6,-40529.656649
allTime,7,-2049.12142
allTime,8,21516.462615
allTime,9,12667.647515
allTime,10,14796.290122
allTime,11,8903.849526
allTime,12,10332.244678
