series,idx,value
day,0,0.0
day,1,79.808889
day,2,221.842985
day,3,288.780231
day,4,251.910378
day,5,19.178817
day,6,-21.561566
day,7,-165.101785
day,8,16.32953
day,9,197.813648
day,10,116.701111
day,11,168.513526
day,12,246.513914
week,0,0.0
week,1,-38.190305
week,2,-161.375582
week,3,-389.912342
week,4,-164.996118
week,5,-261.632015
week,6,-246.693934
week,7,-8.702941
week,8,1255.64768
week,9,1506.383213
week,10,1371.173946
week,11,1500.986749
month,0,0.0
month,1,-649.439526
month,2,-543.877731
month,3,-591.26825
month,4,-1600.90407
month,5,-0.0293
month,6,-41.973914
month,7,-147.466556
month,8,-154.700972
month,9,-162.763985
month,10,1213.673766
month,11,1459.012835
allTime,0,0.0
allTime,1,679.705747
allTime,2,675.196493
allTime,3,1267.14
allTime,4,3841.644704
allTime,5,1980.159981
allTime,6,-2699.70713
allTime,7,-3995.338765
allTime,8,105.882699
allTime,9,221.04612
allTime,10,1680.088255
