series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,-12.59816
month,2,-19.38689
month,3,-19.167585
month,4,-19.391217
month,5,-19.391217
month,6,-19.391217
month,7,-19.391217
month,8,-19.391217
month,9,-19.391217
month,10,-19.391217
month,11,-19.391217
month,12,-19.391217
allTime,0,0.0
allTime,1,8844.698917
allTime,2,-3985.944505
allTime,3,27708.004669
allTime,4,26565.537016
allTime,5,27843.096446
allTime,6,23164.176531
allTime,7,21687.231604
allTime,8,21681.149737
allTime,9,21665.033186
allTime,10,21661.75852
allTime,11,21661.75852
