series,idx,value
day,0,0.0
day,1,-171.338983
day,2,-396.048157
day,3,-238.480745
day,4,207.569226
day,5,-395.139119
day,6,86.933498
day,7,1.679741
day,8,154.054691
day,9,-31.864739
day,10,131.424299
day,11,56.154677
day,12,-15.634921
week,0,0.0
week,1,-1216.788052
week,2,-573.103419
week,3,122.698123
week,4,400.116507
week,5,519.256418
week,6,555.010276
week,7,-637.706938
week,8,-1125.546183
week,9,-1038.612685
week,10,-1141.181104
month,0,0.0
month,1,278.932843
month,2,106.996903
month,3,235.310824
month,4,1044.97533
month,5,-217.394207
month,6,-268.098661
month,7,-1572.34177
month,8,-236.789805
month,9,-81.896036
month,10,-1933.791478
month,11,-1778.087416
allTime,0,0.0
allTime,1,152.726426
allTime,2,-92.939423
allTime,3,-1328.660552
allTime,4,-402.908849
allTime,5,1911.570372
allTime,6,2084.504334
allTime,7,2099.359836
allTime,8,3042.988112
allTime,9,-405.447496
allTime,10,1670.149445
allTime,11,101.386564
