series,idx,value
day,0,0.0
day,1,-48.743041
day,2,-2617.357909
day,3,-5658.494759
day,4,-2226.913355
day,5,-2119.418758
day,6,-3369.786373
day,7,-4571.113804
day,8,-5528.062554
day,9,-9194.894303
day,10,-10140.89968
day,11,-9388.117167
day,12,-9600.655298
week,0,0.0
week,1,2479.389694
week,2,-24555.227907
week,3,-54972.132615
week,4,-6324.112324
week,5,12045.889041
week,6,9807.575036
week,7,5116.235095
week,8,-9406.238132
week,9,-13928.608895
week,10,-18958.150389
month,0,0.0
month,1,-1784.774966
month,2,12361.542303
month,3,20918.63329
month,4,25367.434266
month,5,-5404.574229
month,6,-5320.771669
month,7,-3111.804081
month,8,-60292.945896
month,9,5302.778711
month,10,-204.578186
month,11,-24819.208052
month,12,-24278.96367
allTime,0,0.0
allTime,1,315.994465
allTime,2,21143.138475
allTime,3,189264.688139
allTime,4,205434.424979
allTime,5,206425.657168
allTime,6,222569.768573
allTime,7,218937.683276
allTime,8,195693.02899
allTime,9,166538.160972
allTime,10,197359.732598
allTime,11,173285.347114
