series,idx,value
day,0,0.0
day,1,-24.877927
day,2,-32.875745
day,3,-33.266928
day,4,-44.124397
day,5,-43.150731
day,6,-21.688516
day,7,-13.681841
day,8,-15.119106
day,9,-15.792081
day,10,-16.21963
day,11,-15.288173
week,0,0.0
week,1,-98.362113
week,2,-69.688454
week,3,-74.200772
week,4,-44.346609
week,5,-28.741416
week,6,-11.029278
week,7,-37.534555
week,8,-64.044748
week,9,-114.116566
week,10,-86.211799
week,11,-85.280342
month,0,0.0
month,1,75.405631
month,2,-105.603678
month,3,-78.757025
month,4,51.940953
month,5,-116.7475
month,6,-99.334479
month,7,-169.022933
month,8,-143.681088
month,9,-110.363757
month,10,-174.277898
month,11,-184.614821
allTime,0,0.0
allTime,1,-88.859297
allTime,2,-25.896826
allTime,3,-113.787542
allTime,4,495.873641
allTime,5,584.207145
allTime,6,477.252209
allTime,7,560.742467
allTime,8,421.654805
allTime,9,331.633959
allTime,10,371.93248
allTime,11,324.186693
