series,idx,value
day,0,0.0
day,1,-648.890684
day,2,-641.767731
day,3,-363.004983
day,4,-864.741463
day,5,-1248.488676
day,6,-1160.984069
day,7,-427.065868
day,8,-626.880399
day,9,-364.198598
day,10,-464.625739
day,11,-257.073553
day,12,-376.721419
day,13,-420.601332
week,0,0.0
week,1,-15963.548731
week,2,-10430.585295
week,3,-9922.91894
week,4,-3467.587671
week,5,-2467.807001
week,6,-2182.351175
week,7,-2858.630467
week,8,-3554.518468
week,9,-5033.891785
week,10,-4426.223875
week,11,-4589.751654
month,0,0.0
month,1,1079.423525
month,2,-576.112453
month,3,223.921248
month,4,1153.512638
month,5,960.099561
month,6,1128.878305
month,7,-11866.325089
month,8,-7498.122498
month,9,-383.239359
month,10,-7.601821
month,11,-2992.842556
month,12,-2164.955212
allTime,0,0.0
allTime,1,-578.728832
allTime,2,-2925.435613
allTime,3,-2329.113715
allTime,4,-1981.317708
allTime,5,-266.582609
allTime,6,-1261.11905
allTime,7,9231.418756
allTime,8,9823.546942
allTime,9,-7223.433128
allTime,10,6233.895875
allTime,11,7061.783219
