series,idx,value
day,0,0.0
day,1,1.251437
day,2,-2.025072
day,3,69.267237
day,4,22.434282
day,5,69.68043
day,6,184.931074
day,7,109.468918
day,8,157.591908
day,9,215.6155
day,10,213.319537
day,11,292.600238
day,12,283.343094
week,0,0.0
week,1,656.291013
week,2,775.091315
week,3,911.482767
week,4,1111.905654
week,5,-465.436111
week,6,198.601258
week,7,244.009243
week,8,350.312248
week,9,181.137108
week,10,340.754088
week,11,466.505274
month,0,0.0
month,1,-5819.418134
month,2,-5621.732958
month,3,-7936.188659
month,4,-8334.248177
month,5,-9353.753491
month,6,-9322.025206
month,7,-10050.890206
month,8,-9748.962358
month,9,-10342.564828
month,10,-10284.380859
month,11,-10168.187833
allTime,0,0.0
allTime,1,-388.565211
allTime,2,-3352.993784
allTime,3,10282.07477
allTime,4,4462.656636
allTime,5,4660.341812
allTime,6,2345.886111
allTime,7,1947.826593
allTime,8,928.321279
allTime,9,308.896065
allTime,10,-112.475789
allTime,11,113.886937
