series,idx,value
day,0,0.0
day,1,-2.76167
day,2,72.045754
day,3,43.179361
day,4,-46.553492
day,5,27.362326
day,6,-71.273623
day,7,-64.929331
day,8,-116.140734
day,9,-12.321752
day,10,35.430585
day,11,57.390513
day,12,50.378318
week,0,0.0
week,1,536.779377
week,2,378.723548
week,3,165.475683
week,4,34.165605
week,5,34.218442
week,6,-4.605694
week,7,148.356725
week,8,551.988636
week,9,561.434195
week,10,643.418272
week,11,658.366005
month,0,0.0
month,1,-795.543253
month,2,-1027.93727
month,3,-974.428326
month,4,-1361.708514
month,5,-824.165302
month,6,-708.156166
month,7,-306.218868
month,8,-646.793112
month,9,-711.639434
month,10,-204.229518
month,11,-97.852149
allTime,0,0.0
allTime,1,663.729416
allTime,2,4866.83693
allTime,3,3673.067396
allTime,4,3994.515223
allTime,5,3257.78064
allTime,6,4127.556436
allTime,7,3079.027223
allTime,8,3083.844835
allTime,9,3881.198834
allTime,10,4160.841291
