series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,-8.611821
day,10,-13.808074
day,11,-25.236742
day,12,-20.039049
week,0,0.0
week,1,0.0
week,2,0.0
week,3,2.50867
week,4,2.295392
week,5,2.295392
week,6,2.295392
week,7,2.295392
week,8,2.295392
week,9,2.295392
week,10,-6.316429
week,11,-17.743657
month,0,0.0
month,1,-479.53028
month,2,-499.963358
month,3,-490.689171
month,4,-490.689171
month,5,-458.181033
month,6,-432.590924
month,7,-432.590924
month,8,-430.295532
month,9,-430.295532
month,10,-430.295532
month,11,-455.532274
month,12,-450.334581
allTime,0,0.0
allTime,1,-719.782449
allTime,2,-904.181564
allTime,3,-776.513456
allTime,4,58.446684
allTime,5,284.241111
allTime,6,1809.159059
allTime,7,1350.897611
allTime,8,1206.776525
allTime,9,273.829329
allTime,10,432.484646
allTime,11,412.232319
