series,idx,value
day,0,0.0
day,1,39.832464
day,2,3.133862
day,3,41.804322
day,4,-6.11053
day,5,-5.569769
day,6,23.767472
day,7,75.970599
day,8,67.220963
day,9,141.913773
day,10,138.588269
day,11,140.894841
day,12,108.932791
day,13,105.870749
week,0,0.0
week,1,118.961168
week,2,196.788642
week,3,102.450069
week,4,28.947399
week,5,-116.757393
week,6,-54.025617
week,7,119.697858
week,8,161.962023
week,9,340.971598
week,10,377.109733
week,11,407.009883
month,0,0.0
month,1,-417.86895
month,2,-914.055239
month,3,-790.084403
month,4,-503.208996
month,5,-828.544742
month,6,-373.083443
month,7,-543.328484
month,8,-541.517854
month,9,-708.116567
month,10,-518.163141
month,11,-238.091189
month,12,-273.115281
allTime,0,0.0
allTime,1,143.700223
allTime,2,99.86832
allTime,3,1049.542199
allTime,4,1386.553451
allTime,5,1191.678602
allTime,6,2210.252019
allTime,7,1843.237705
allTime,8,1270.414627
allTime,9,1978.691335
allTime,10,1818.944792
allTime,11,1458.626024
allTime,12,1937.136738
