series,idx,value
day,0,0.0
day,1,181.421569
day,2,140.267728
day,3,89.533931
day,4,55.365857
day,5,-135.533479
day,6,-4.901339
day,7,65.252835
day,8,-39.851507
day,9,-50.423449
day,10,-142.386241
day,11,-257.492489
day,12,-270.860883
week,0,0.0
week,1,227.555646
week,2,-75.684362
week,3,1426.906134
week,4,1375.776503
week,5,2662.109743
week,6,2970.03581
week,7,2740.758806
week,8,2444.250285
week,9,2149.255119
week,10,1969.135884
week,11,1738.126508
month,0,0.0
month,1,-446.978197
month,2,-1882.79643
month,3,-335.294114
month,4,539.82838
month,5,-2752.229228
month,6,-238.60937
month,7,3339.033224
month,8,4538.383712
month,9,5773.587321
month,10,5793.880034
month,11,5185.717804
month,12,4849.604086
allTime,0,0.0
allTime,1,8541.534
allTime,2,29981.882395
allTime,3,46381.666771
allTime,4,56934.784774
allTime,5,43722.445049
allTime,6,44054.310319
allTime,7,41831.922301
allTime,8,37336.116742
allTime,9,42400.090184
allTime,10,47688.811816
