series,idx,value
day,0,0.0
day,1,1156.464476
day,2,1054.134727
day,3,644.586478
day,4,89.049155
day,5,-269.240668
day,6,291.240884
day,7,1123.704911
day,8,750.164337
day,9,485.846063
day,10,-7.694786
day,11,-899.211111
day,12,-821.964586
week,0,0.0
week,1,14194.870443
week,2,14861.397569
week,3,15117.479454
week,4,12893.713807
week,5,14798.679189
week,6,12206.830068
week,7,10292.342698
week,8,9985.624803
week,9,10693.732932
week,10,10534.992517
week,11,9227.181868
month,0,0.0
month,1,-33615.340124
month,2,-50416.301904
month,3,-51027.908639
month,4,-59486.038204
month,5,-101764.170454
month,6,-103804.645082
month,7,-48135.124163
month,8,-49745.597184
month,9,-54074.862241
month,10,-53713.461799
month,11,-54874.961111
month,12,-55785.974852
allTime,0,0.0
allTime,1,16147.673601
allTime,2,30409.190216
allTime,3,39438.410552
allTime,4,47177.981872
allTime,5,55888.018068
allTime,6,56201.027965
allTime,7,59823.627537
allTime,8,121461.498782
allTime,9,82534.054174
allTime,10,67473.31822
allTime,11,65675.52393
