series,idx,value
day,0,0.0
day,1,5448.872559
day,2,4758.507485
day,3,6192.904168
day,4,6567.730119
day,5,5734.37775
day,6,1237.602099
day,7,-355.614438
day,8,1985.158427
day,9,1442.323738
day,10,1683.965652
day,11,1092.710114
day,12,1414.672496
week,0,0.0
week,1,23919.229829
week,2,12372.415197
week,3,11372.98274
week,4,1809.00707
week,5,-1952.42902
week,6,-3703.779749
week,7,1361.671624
week,8,14423.829315
week,9,24140.03565
week,10,19389.45522
week,11,19361.803978
month,0,0.0
month,1,-22624.240389
month,2,-10106.628407
month,3,-18623.647171
month,4,-41830.100437
month,5,-23362.778658
month,6,-16445.613857
month,7,5373.762142
month,8,-14841.133421
month,9,-18885.827814
month,10,-1020.326036
month,11,244.134975
allTime,0,0.0
allTime,1,5677.52365
allTime,2,34814.834936
allTime,3,46529.916199
allTime,4,60029.80455
allTime,5,77249.510691
allTime,6,90041.579253
allTime,7,94867.603543
allTime,8,14454.064406
allTime,9,61324.024018
allTime,10,-17181.33797
allTime,11,6425.575663
