name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc
Jade Lotus Capital,0xbc5bf88fd012612ba92c5bd96e183955801b7fdc,0x10cd85d0257e666fa74de7c03965a6ec9383e171,319928.917685,-0.24894997654976134,,2025-05-26T09:04:28.497000+00:00,False,False,2627.600104,-9776.76098,-106046.593527,192080.157685,-116919.03553199998,69231.23383495612,46,0.9897959183673469,0.004884932696482849,0.0,0.004559270516717325,0.9797003907946157,0.9862136343899262,0.9984259661311333,0.0,0.5636977953657285,1,2026-03-11T07:32:53.868260+00:00
Equinox · Blackalgo,0x7048b287889c5913d59f812795d7fd5d724be77a,0x3db735d71673b3d57b34f55013b9b25e2d2dd9cf,1070486.70329,-0.043627250373508876,,2026-01-19T13:14:32.273000+00:00,False,False,879.903267,-61681.268523,-51458.854332,6131.87329,-82602.591011,42265.78515776358,48,0.9704732957012592,0.0020625271385149805,0.0,0.035497177594442035,0.9723187147199305,0.9799174989144595,0.8256079027355623,0.0,0.5445429380649746,2,2026-03-11T07:32:53.868260+00:00
C.A.T,0xdfb729b4b789de6d13d6ad7ac8e2750909360af9,0x0d60d47b1b995af2a0e98485a9413868ea7effd6,6902.536564,-0.20461837328477905,,2025-11-06T23:41:26.380000+00:00,False,False,-15.634921,-1141.181104,-1778.087416,101.386564,-3448.435608,1578.4045030738178,48,0.9881676074685193,0.029960920538428137,0.0,0.13601823708206687,0.8165436387320886,0.8368432479374729,0.8256079027355623,0.0,0.5428677515493625,3,2026-03-11T07:32:53.868260+00:00
Sentiment Edge ,0xb7e7d0fdeff5473ed6ef8d3a762d096a040dbb18,0x3b290def8e0b287a2c8ac0ae1ab31642caecc7e7,165749.670452,-0.027105000858063187,,2025-02-20T07:31:56.707000+00:00,False,False,122.12274,522.612309,-4836.040952,46184.910452,-33191.736496000005,18015.168562505227,48,0.9641771602257925,0.0060790273556231,0.0,0.013026487190620929,0.948762483716891,0.9623317412071212,0.8256079027355623,0.0,0.5340156613902814,4,2026-03-11T07:32:53.868260+00:00
OnDitMerciQui?,0x057236927e2e2c8b3cd595746a051687ba40d1cc,0x671ac0f3cd0f450b12c50c5b0891dbc4dac80d73,1222.449145,-0.10115715415557637,,2024-12-11T20:50:12.812000+00:00,False,False,-11.920011,64.175327,-137.576304,176.209145,-2424.50729,743.8513093379752,48,0.9813287016934433,0.0589448545375597,0.0,0.1204950065132436,0.7891880156317846,0.7674772036474165,0.8256079027355623,0.0,0.5336776635218885,5,2026-03-11T07:32:53.868260+00:00
BTC/ETH CTA | AIM,0xbeebbbe817a69d60dd62e0a942032bc5414dae1c,0x9660f151ffe595afc65e64d38a55285ed8fd2021,96289.184546,-0.08212631968004888,,2025-07-03T21:18:56.515000+00:00,False,False,3267.144861,-1254.9142,-8660.167169,77.754546,-21288.090941000002,9052.490502294731,49,0.9789405123751629,0.008792878853669127,0.0,0.14253148067737734,0.9310681719496309,0.9358445505861919,0.5427160225792445,0.0,0.5303914360715273,6,2026-03-11T07:32:53.868260+00:00
22Cap,0xba939edf38c0ae0cc689c98b492e0535f43e4550,0xa7fd61557cd0a61073566766839d5f851a8e92ef,128812.18401,-0.015332999459620956,,2023-11-25T13:38:05.023000+00:00,False,False,271.386785,1911.032424,-2146.939051,56023.26401,-10344.546834000008,6803.121787051459,48,0.9580981328701693,0.007490230134607034,0.0,0.01118106817194963,0.8970907511940946,0.9246634824142423,0.8256079027355623,0.0,0.5220327734575455,7,2026-03-11T07:32:53.868260+00:00
DH-Funding Rate,0xa6b72ea0ef4542d520aa78f8d749ab4f2714b63d,0x725afdd376503910e004733fca22b7505c445c03,9746.614033,-0.011681306188808447,,2025-05-23T12:53:01.585000+00:00,False,False,-108.695755,-69.427402,-122.378297,4408.584033,-1822.6841869999998,1085.083682879164,47,0.956252713851498,0.025510204081632654,0.0,0.04125054277029961,0.7662831089882761,0.8028658271819366,0.9681393834129396,0.0,0.5194200746062448,8,2026-03-11T07:32:53.868260+00:00
Storm,0xae08a2282d969bd0c4bf63a626ab8f8e6200022d,0x70e424703f5e8e7237ccdf04b4908379942b26a5,30789.172619,-0.02728160112235544,,2026-01-26T21:29:51.104000+00:00,False,False,-25.569177,389.212206,-863.536587,789.172619,-3024.417832,994.9112144849074,48,0.9642857142857143,0.015197568389057751,0.0,0.07653061224489796,0.8057967867998264,0.7946157186278767,0.8256079027355623,0.0,0.5155960111317255,9,2026-03-11T07:32:53.868260+00:00
Flagship by Fire Labs,0x632df0dbe24f3dac3e1c4e0596c96a0adc3ba86a,0x1d4b30ea0a731e092a8cb0079666bf1edfbc5f58,17679.115834,-0.00849668668223876,,2025-05-08T12:59:32.078000+00:00,False,False,-151.501166,-151.501166,-151.501166,2764.555834,-49531.619175,32203.3217184901,49,0.9540816326530612,0.019214068606165872,0.0,0.05080330004342162,0.9602692140686062,0.9754667824576639,0.5427160225792445,0.0,0.5136099652627009,10,2026-03-11T07:32:53.868260+00:00
